ㄅㄚ,ba,八
ㄇㄧㄠ˙,,　
ㄇㄧㄡ,miou,唒
ㄇㄧㄡˊ,,　
ㄇㄧㄡˇ,,　
ㄇㄧㄡˋ,mioù,謬
ㄇㄧㄡ˙,,　
ㄇㄧㄢ,,
ㄇㄧㄢˊ,mián,棉
ㄇㄧㄢˇ,miǎn,免
ㄇㄧㄢˋ,miàn,面
ㄇㄧㄢ˙,,　
ㄇㄧㄣ,,
ㄇㄧㄣˊ,mín,民
ㄇㄧㄣˇ,mǐn,敏
ㄇㄧㄣˋ,,　
ㄇㄧㄣ˙,,
ㄇㄧㄥ,,
ㄇㄧㄥˊ,míng,明
ㄇㄧㄥˇ,mǐng,姳
ㄇㄧㄥˋ,mìng,命
ㄇㄧㄥ˙,,
(ㄇㄧㄨ),miu,唒
(ㄇㄧㄨˊ),,　
(ㄇㄧㄨˇ),,　
(ㄇㄧㄨˋ),miù,謬
(ㄇㄧㄨ˙),,　
ㄇㄨ,,
ㄇㄨˊ,mú,橅
ㄇㄨˇ,mǔ,母
ㄇㄨˋ,mù,目
ㄇㄨ˙,,　
(ㄇㄨㄛ),muo,摸
(ㄇㄨㄛˊ),muó,摩
(ㄇㄨㄛˇ),muǒ,抹
(ㄇㄨㄛˋ),muò,默
(ㄇㄨㄛ˙),muọ,尛
(ㄇㄨㄥ),mong,矇
(ㄇㄨㄥˊ),móng,盟
(ㄇㄨㄥˇ),mǒng,猛
(ㄇㄨㄥˋ),mòng,夢
(ㄇㄨㄥ˙),,
ㄈㄚ,fa,發
ㄈㄚˊ,fá,罰
ㄈㄚˇ,fǎ,髮
ㄈㄚˋ,fà,法
ㄈㄚ˙,,　
ㄈㄛ,,
ㄈㄛˊ,fó,佛
ㄈㄛˇ,,　
ㄈㄛˋ,,　
ㄈㄛ˙,,　
ㄈㄟ,fei,飛
ㄈㄟˊ,feí,肥
ㄈㄟˇ,feǐ,匪
ㄈㄟˋ,feì,費
ㄈㄟ˙,,　
ㄈㄡ,,
ㄈㄡˊ,foú,芣
ㄈㄡˇ,foǔ,否
ㄈㄡˋ,,　
ㄈㄡ˙,,　
ㄈㄢ,fan,翻
ㄈㄢˊ,fán,凡
ㄈㄢˇ,fǎn,反
ㄈㄢˋ,fàn,飯
ㄈㄢ˙,,　
ㄈㄣ,fen,分
ㄈㄣˊ,fén,焚
ㄈㄣˇ,fěn,粉
ㄈㄣˋ,fèn,奮
ㄈㄣ˙,fẹn,噴
ㄈㄤ,fang,方
ㄈㄤˊ,fáng,房
ㄈㄤˇ,fǎng,訪
ㄈㄤˋ,fàng,放
ㄈㄤ˙,,　
ㄈㄥ,feng,風
ㄈㄥˊ,féng,逢
ㄈㄥˇ,fěng,唪
ㄈㄥˋ,fèng,鳳
ㄈㄥ˙,,
ㄈㄨ,fu,夫
ㄈㄨˊ,fú,服
ㄈㄨˇ,fǔ,府
ㄈㄨˋ,fù,傅
ㄈㄨ˙,,　
(ㄈㄨㄛ),,
(ㄈㄨㄛˊ),fuó,佛
(ㄈㄨㄛˇ),,　
(ㄈㄨㄛˋ),,　
(ㄈㄨㄛ˙),,　
(ㄈㄨㄥ),fong,風
(ㄈㄨㄥˊ),fóng,逢
(ㄈㄨㄥˇ),fǒng,唪
(ㄈㄨㄥˋ),fòng,鳳
(ㄈㄨㄥ˙),,
ㄉㄚ,da,搭
ㄉㄚˊ,dá,達
ㄉㄚˇ,dǎ,打
ㄉㄚˋ,dà,大
ㄉㄚ˙,dạ,瘩
ㄉㄜ,,
ㄉㄜˊ,dé,德
ㄉㄜˇ,,　
ㄉㄜˋ,,　
ㄉㄜ˙,dẹ,的
ㄉㄞ,dai,呆
ㄉㄞˊ,,　
ㄉㄞˇ,daǐ,逮
ㄉㄞˋ,daì,代
ㄉㄞ˙,,　
ㄉㄟ,,　
ㄉㄟˊ,,
ㄉㄟˇ,deǐ,得
ㄉㄟˋ,,　
ㄉㄟ˙,,　
ㄉㄠ,dao,刀
ㄉㄠˊ,daó,捯
ㄉㄠˇ,daǒ,導
ㄉㄠˋ,daò,到
ㄉㄠ˙,,　
ㄉㄡ,dou,兜
ㄉㄡˊ,,　
ㄉㄡˇ,doǔ,斗
ㄉㄡˋ,doù,豆
ㄉㄡ˙,,　
ㄉㄢ,dan,丹
ㄉㄢˊ,dán,馾
ㄉㄢˇ,dǎn,膽
ㄉㄢˋ,dàn,但
ㄉㄢ˙,,　
ㄉㄤ,dang,當
ㄉㄤˊ,,　
ㄉㄤˇ,dǎng,黨
ㄉㄤˋ,dàng,盪
ㄉㄤ˙,,　
ㄉㄥ,deng,登
ㄉㄥˊ,,　
ㄉㄥˇ,děng,等
ㄉㄥˋ,dèng,鄧
ㄉㄥ˙,,
(ㄉㄦ),,
(ㄉㄦˊ),dér,德
(ㄉㄦˇ),,
