ㄅㄚ,ba,八
ㄔㄨㄢ˙,,　
ㄔㄨㄣ,chun,春
ㄔㄨㄣˊ,chún,純
ㄔㄨㄣˇ,chǔn,蠢
ㄔㄨㄣˋ,,　
ㄔㄨㄣ˙,,　
ㄔㄨㄤ,chuang,窗
ㄔㄨㄤˊ,chuáng,床
ㄔㄨㄤˇ,chuǎng,闖
ㄔㄨㄤˋ,chuàng,創
ㄔㄨㄤ˙,,　
ㄔㄨㄥ,chong,充
ㄔㄨㄥˊ,chóng,崇
ㄔㄨㄥˇ,chǒng,寵
ㄔㄨㄥˋ,chòng,銃
ㄔㄨㄥ˙,,
(ㄔㄨㄧ),chui,吹
(ㄔㄨㄧˊ),chuí,垂
(ㄔㄨㄧˇ),,　
(ㄔㄨㄧˋ),chuì,諈
(ㄔㄨㄧ˙),,　
ㄕ,shih,施
ㄕˊ,shíh,時
ㄕˇ,shǐh,始
ㄕˋ,shìh,是
ㄕ˙,shịh,匙
ㄕㄚ,sha,沙
ㄕㄚˊ,shá,啥
ㄕㄚˇ,shǎ,傻
ㄕㄚˋ,shà,霎
ㄕㄚ˙,,　
ㄕㄜ,she,奢
ㄕㄜˊ,shé,什
ㄕㄜˇ,shě,捨
ㄕㄜˋ,shè,設
ㄕㄜ˙,,　
ㄕㄞ,shai,篩
ㄕㄞˊ,,　
ㄕㄞˇ,shaǐ,骰
ㄕㄞˋ,shaì,曬
ㄕㄞ˙,,　
ㄕㄟ,,
ㄕㄟˊ,sheí,誰
ㄕㄟˇ,,　
ㄕㄟˋ,,　
ㄕㄟ˙,,　
ㄕㄠ,shao,稍
ㄕㄠˊ,shaó,韶
ㄕㄠˇ,shaǒ,少
ㄕㄠˋ,shaò,紹
ㄕㄠ˙,,　
ㄕㄡ,shou,收
ㄕㄡˊ,shoú,熟
ㄕㄡˇ,shoǔ,手
ㄕㄡˋ,shoù,瘦
ㄕㄡ˙,,　
ㄕㄢ,shan,山
ㄕㄢˊ,,　
ㄕㄢˇ,shǎn,閃
ㄕㄢˋ,shàn,善
ㄕㄢ˙,,　
ㄕㄣ,shen,伸
ㄕㄣˊ,shén,神
ㄕㄣˇ,shěn,審
ㄕㄣˋ,shèn,甚
ㄕㄣ˙,,　
ㄕㄤ,shang,商
ㄕㄤˊ,,　
ㄕㄤˇ,shǎng,賞
ㄕㄤˋ,shàng,上
ㄕㄤ˙,shạng,裳
ㄕㄥ,sheng,升
ㄕㄥˊ,shéng,繩
ㄕㄥˇ,shěng,省
ㄕㄥˋ,shèng,勝
ㄕㄥ˙,,
(ㄕㄦ),sher,奢
(ㄕㄦˊ),shér,什
(ㄕㄦˇ),shěr,捨
(ㄕㄦˋ),shèr,設
(ㄕㄦ˙),,　
ㄕㄨ,shu,書
ㄕㄨˊ,shú,淑
ㄕㄨˇ,shǔ,屬
ㄕㄨˋ,shù,數
ㄕㄨ˙,shụ,叔
ㄕㄨㄚ,shua,刷
ㄕㄨㄚˊ,,　
ㄕㄨㄚˇ,shuǎ,耍
ㄕㄨㄚˋ,shuà,誜
ㄕㄨㄚ˙,,　
ㄕㄨㄛ,shuo,說
ㄕㄨㄛˊ,,　
ㄕㄨㄛˇ,,　
ㄕㄨㄛˋ,shuò,碩
ㄕㄨㄛ˙,,　
ㄕㄨㄞ,shuai,摔
ㄕㄨㄞˊ,,　
ㄕㄨㄞˇ,shuaǐ,甩
ㄕㄨㄞˋ,shuaì,帥
ㄕㄨㄞ˙,,　
ㄕㄨㄟ,,
ㄕㄨㄟˊ,shueí,脽
ㄕㄨㄟˇ,shueǐ,水
ㄕㄨㄟˋ,shueì,稅
ㄕㄨㄟ˙,,　
ㄕㄨㄢ,shuan,栓
ㄕㄨㄢˊ,,　
ㄕㄨㄢˇ,,　
ㄕㄨㄢˋ,shuàn,涮
ㄕㄨㄢ˙,,　
ㄕㄨㄣ,,　
ㄕㄨㄣˊ,,
ㄕㄨㄣˇ,shǔn,吮
ㄕㄨㄣˋ,shùn,順
ㄕㄨㄣ˙,,　
ㄕㄨㄤ,shuang,霜
ㄕㄨㄤˊ,,　
ㄕㄨㄤˇ,shuǎng,爽
ㄕㄨㄤˋ,shuàng,灀
ㄕㄨㄤ˙,,
(ㄕㄨㄧ),,
(ㄕㄨㄧˊ),shuí,脽
(ㄕㄨㄧˇ),shuǐ,水
(ㄕㄨㄧˋ),shuì,稅
(ㄕㄨㄧ˙),,　
ㄖ,,
ㄖˊ,,
ㄖˇ,,
ㄖˋ,rìh,日
ㄖ˙,,
ㄖㄜ,,
ㄖㄜˊ,ré,耴
ㄖㄜˇ,rě,惹
ㄖㄜˋ,rè,熱
ㄖㄜ˙,,　
ㄖㄠ,,
ㄖㄠˊ,raó,饒
ㄖㄠˇ,raǒ,擾
ㄖㄠˋ,raò,繞
ㄖㄠ˙,,　
ㄖㄡ,,
ㄖㄡˊ,roú,柔
ㄖㄡˇ,roǔ,煣
ㄖㄡˋ,roù,肉
ㄖㄡ˙,,　
ㄖㄢ,,
ㄖㄢˊ,rán,然
ㄖㄢˇ,rǎn,染
ㄖㄢˋ,,　
ㄖㄢ˙,,　
ㄖㄣ,,
ㄖㄣˊ,rén,人
ㄖㄣˇ,rěn,忍
ㄖㄣˋ,rèn,任
ㄖㄣ˙,,　
ㄖㄤ,,
ㄖㄤˊ,ráng,攘
ㄖㄤˇ,rǎng,壤
ㄖㄤˋ,ràng,讓
ㄖㄤ˙,,　
ㄖㄥ,reng,扔
ㄖㄥˊ,réng,仍
ㄖㄥˇ,rěng,扔
ㄖㄥˋ,rèng,芿
ㄖㄥ˙,,
(ㄖㄦ),,
(ㄖㄦˊ),rér,耴
(ㄖㄦˇ),rěr,惹
(ㄖㄦˋ),rèr,熱
(ㄖㄦ˙),,
ㄖㄨ,,
ㄖㄨˊ,rú,如
ㄖㄨˇ,rǔ,乳
ㄖㄨˋ,rù,入
ㄖㄨ˙,,　
ㄖㄨㄛ,,
ㄖㄨㄛˊ,ruó,挼
ㄖㄨㄛˇ,ruǒ,若
ㄖㄨㄛˋ,,　
ㄖㄨㄛ˙,,
ㄖㄨㄟ,,
ㄖㄨㄟˊ,rueí,蕤
ㄖㄨㄟˇ,rueǐ,蕊
ㄖㄨㄟˋ,rueì,瑞
ㄖㄨㄟ˙,,　
ㄖㄨㄢ,,
ㄖㄨㄢˊ,ruán,撋
ㄖㄨㄢˇ,ruǎn,軟
ㄖㄨㄢˋ,,　
ㄖㄨㄢ˙,,
ㄖㄨㄣ,run,犉
ㄖㄨㄣˊ,rún,瞤
ㄖㄨㄣˇ,,　
ㄖㄨㄣˋ,rùn,潤
ㄖㄨㄣ˙,,　
ㄖㄨㄥ,,
ㄖㄨㄥˊ,róng,容
ㄖㄨㄥˇ,rǒng,冗
ㄖㄨㄥˋ,,
ㄖㄨㄥ˙,,
(ㄖㄨㄧ),,
(ㄖㄨㄧˊ),ruí,蕤
(ㄖㄨㄧˇ),ruǐ,蕊
(ㄖㄨㄧˋ),ruì,瑞
(ㄖㄨㄧ˙),,　
ㄗ,zih,茲
ㄗˊ,,　
ㄗˇ,zǐh,紫
ㄗˋ,zìh,字
ㄗ˙,zịh,子
ㄗㄚ,za,紮
ㄗㄚˊ,zá,雜
ㄗㄚˇ,zǎ,鮺
ㄗㄚˋ,,　
ㄗㄚ˙,,　
ㄗㄜ,,
ㄗㄜˊ,zé,則
ㄗㄜˇ,zě,怎
ㄗㄜˋ,zè,仄
ㄗㄜ˙,,　
ㄗㄞ,zai,栽
ㄗㄞˊ,,　
ㄗㄞˇ,zaǐ,載
ㄗㄞˋ,zaì,在
ㄗㄞ˙,,　
ㄗㄟ,,
ㄗㄟˊ,zeí,賊
ㄗㄟˇ,,　
ㄗㄟˋ,,　
ㄗㄟ˙,,　
ㄗㄠ,zao,遭
ㄗㄠˊ,zaó,鑿
ㄗㄠˇ,zaǒ,早
ㄗㄠˋ,zaò,造
ㄗㄠ˙,,　
ㄗㄡ,zou,鄒
ㄗㄡˊ,,　
ㄗㄡˇ,zoǔ,走
ㄗㄡˋ,zoù,奏
ㄗㄡ˙,,　
ㄗㄢ,zan,簪
ㄗㄢˊ,zán,咱
ㄗㄢˇ,zǎn,攢
ㄗㄢˋ,zàn,讚
ㄗㄢ˙,,　
ㄗㄣ,zen,兂
ㄗㄣˊ,,　
ㄗㄣˇ,zěn,怎
ㄗㄣˋ,zèn,譖
ㄗㄣ˙,,　
ㄗㄤ,zang,臧
ㄗㄤˊ,,　
ㄗㄤˇ,zǎng,駔
ㄗㄤˋ,zàng,臟
ㄗㄤ˙,,　
ㄗㄥ,zeng,增
ㄗㄥˊ,,　
ㄗㄥˇ,,　
ㄗㄥˋ,zèng,贈
ㄗㄥ˙,,
(ㄗㄦ),,
(ㄗㄦˊ),zér,則
(ㄗㄦˇ),zěr,怎
(ㄗㄦˋ),zèr,仄
(ㄗㄦ˙),,　
ㄗㄨ,zu,租
ㄗㄨˊ,zú,族
ㄗㄨˇ,zǔ,組
ㄗㄨˋ,zù,駔
ㄗㄨ˙,,　
ㄗㄨㄛ,zuo,嘬
ㄗㄨㄛˊ,zuó,昨
ㄗㄨㄛˇ,zuǒ,左
ㄗㄨㄛˋ,zuò,作
ㄗㄨㄛ˙,,　
ㄗㄨㄟ,zuei,羧
ㄗㄨㄟˊ,,　
ㄗㄨㄟˇ,zueǐ,嘴
ㄗㄨㄟˋ,zueì,最
ㄗㄨㄟ˙,,　
ㄗㄨㄢ,zuan,鑽
ㄗㄨㄢˊ,,　
ㄗㄨㄢˇ,zuǎn,纂
ㄗㄨㄢˋ,zuàn,攥
ㄗㄨㄢ˙,,　
ㄗㄨㄣ,zun,尊
ㄗㄨㄣˊ,,　
ㄗㄨㄣˇ,zǔn,撙
ㄗㄨㄣˋ,zùn,圳
ㄗㄨㄣ˙,,
ㄗㄨㄥ,zong,宗
ㄗㄨㄥˊ,,　
ㄗㄨㄥˇ,zǒng,總
ㄗㄨㄥˋ,zòng,綜
ㄗㄨㄥ˙,,
(ㄗㄨㄧ),zui,羧
(ㄗㄨㄧˊ),,　
(ㄗㄨㄧˇ),zuǐ,嘴
(ㄗㄨㄧˋ),zuì,最
(ㄗㄨㄧ˙),,　
ㄘ,tsih,疵
ㄘˊ,tsíh,慈
ㄘˇ,tsǐh,此
ㄘˋ,tsìh,次
ㄘ˙,,
ㄘㄚ,tsa,擦
ㄘㄚˊ,,　
ㄘㄚˇ,tsǎ,礤
ㄘㄚˋ,tsà,囃
ㄘㄚ˙,,　
ㄘㄜ,,　
ㄘㄜˊ,,　
ㄘㄜˇ,,
ㄘㄜˋ,tsè,冊
ㄘㄜ˙,,　
ㄘㄞ,tsai,猜
ㄘㄞˊ,tsaí,才
ㄘㄞˇ,tsaǐ,採
ㄘㄞˋ,tsaì,菜
ㄘㄞ˙,,　
ㄘㄠ,tsao,操
ㄘㄠˊ,tsaó,曹
ㄘㄠˇ,tsaǒ,草
ㄘㄠˋ,tsaò,糙
ㄘㄠ˙,,　
ㄘㄡ,,　
ㄘㄡˊ,,　
ㄘㄡˇ,,
ㄘㄡˋ,tsoù,湊
ㄘㄡ˙,,　
ㄘㄢ,tsan,餐
ㄘㄢˊ,tsán,殘
ㄘㄢˇ,tsǎn,慘
ㄘㄢˋ,tsàn,燦
ㄘㄢ˙,,　
ㄘㄣ,tsen,參
ㄘㄣˊ,tsén,岑
ㄘㄣˇ,,　
ㄘㄣˋ,,　
ㄘㄣ˙,,　
ㄘㄤ,tsang,倉
ㄘㄤˊ,tsáng,藏
ㄘㄤˇ,,　
ㄘㄤˋ,,　
ㄘㄤ˙,,　
ㄘㄥ,tseng,噌
ㄘㄥˊ,tséng,層
ㄘㄥˇ,,　
ㄘㄥˋ,tsèng,蹭
ㄘㄥ˙,,
ㄘㄨ,tsu,粗
ㄘㄨˊ,tsú,殂
ㄘㄨˇ,,　
ㄘㄨˋ,tsù,促
ㄘㄨ˙,,　
ㄘㄨㄛ,tsuo,搓
ㄘㄨㄛˊ,tsuó,矬
ㄘㄨㄛˇ,tsuǒ,脞
ㄘㄨㄛˋ,tsuò,錯
ㄘㄨㄛ˙,,　
ㄘㄨㄟ,tsuei,摧
ㄘㄨㄟˊ,tsueí,凗
ㄘㄨㄟˇ,tsueǐ,璀
ㄘㄨㄟˋ,tsueì,翠
ㄘㄨㄟ˙,,　
ㄘㄨㄢ,tsuan,汆
ㄘㄨㄢˊ,tsuán,劗
ㄘㄨㄢˇ,,　
ㄘㄨㄢˋ,tsuàn,竄
ㄘㄨㄢ˙,,　
ㄘㄨㄣ,tsun,村
ㄘㄨㄣˊ,tsún,存
ㄘㄨㄣˇ,tsǔn,忖
ㄘㄨㄣˋ,tsùn,吋
ㄘㄨㄣ˙,,　
ㄘㄨㄥ,tsong,匆
ㄘㄨㄥˊ,tsóng,從
ㄘㄨㄥˇ,tsǒng,幒
ㄘㄨㄥˋ,tsǒng,欉
ㄘㄨㄥ˙,,
(ㄘㄨㄧ),tsui,摧
(ㄘㄨㄧˊ),tsuí,凗
(ㄘㄨㄧˇ),tsuǐ,璀
(ㄘㄨㄧˋ),tsuì,翠
(ㄘㄨㄧ˙),,　
ㄙ,sih,思
ㄙˊ,,　
ㄙˇ,sǐh,死
ㄙˋ,sìh,四
ㄙ˙,sịh,思
ㄙㄚ,sa,撒
ㄙㄚˊ,,　
ㄙㄚˇ,sǎ,灑
ㄙㄚˋ,sà,薩
ㄙㄚ˙,,　
ㄙㄜ,,　
ㄙㄜˊ,,　
ㄙㄜˇ,,
ㄙㄜˋ,sè,色
ㄙㄜ˙,,　
ㄙㄞ,sai,腮
ㄙㄞˊ,,　
ㄙㄞˇ,,　
ㄙㄞˋ,saì,賽
ㄙㄞ˙,,　
ㄙㄠ,sao,艘
ㄙㄠˊ,,　
ㄙㄠˇ,saǒ,掃
ㄙㄠˋ,saò,臊
ㄙㄠ˙,,　
ㄙㄡ,sou,搜
ㄙㄡˊ,,　
ㄙㄡˇ,soǔ,擻
ㄙㄡˋ,soù,嗽
ㄙㄡ˙,,　
ㄙㄢ,san,三
ㄙㄢˊ,,　
ㄙㄢˇ,sǎn,傘
ㄙㄢˋ,sàn,散
ㄙㄢ˙,,　
ㄙㄣ,sen,森
ㄙㄣˊ,,　
ㄙㄣˇ,,　
ㄙㄣˋ,,　
ㄙㄣ˙,,　
ㄙㄤ,sang,桑
ㄙㄤˊ,,　
ㄙㄤˇ,sǎng,嗓
ㄙㄤˋ,sàng,喪
ㄙㄤ˙,,　
ㄙㄥ,seng,僧
ㄙㄥˊ,,　
ㄙㄥˇ,,　
ㄙㄥˋ,,　
ㄙㄥ˙,,
ㄙㄨ,su,蘇
ㄙㄨˊ,sú,俗
ㄙㄨˇ,,　
ㄙㄨˋ,sù,速
ㄙㄨ˙,,　
ㄙㄨㄛ,suo,縮
ㄙㄨㄛˊ,,　
ㄙㄨㄛˇ,suǒ,所
ㄙㄨㄛˋ,suò,逤
ㄙㄨㄛ˙,,　
ㄙㄨㄟ,suei,雖
ㄙㄨㄟˊ,sueí,隨
ㄙㄨㄟˇ,sueǐ,髓
ㄙㄨㄟˋ,sueì,歲
ㄙㄨㄟ˙,,　
ㄙㄨㄢ,suan,酸
ㄙㄨㄢˊ,,　
ㄙㄨㄢˇ,suǎn,匴
ㄙㄨㄢˋ,suàn,算
ㄙㄨㄢ˙,,　
ㄙㄨㄣ,sun,孫
ㄙㄨㄣˊ,,　
ㄙㄨㄣˇ,sǔn,損
ㄙㄨㄣˋ,sùn,愻
ㄙㄨㄣ˙,,　
ㄙㄨㄥ,song,松
ㄙㄨㄥˊ,,　
ㄙㄨㄥˇ,sǒng,聳
ㄙㄨㄥˋ,sòng,送
ㄙㄨㄥ˙,,
(ㄙㄨㄧ),sui,雖
(ㄙㄨㄧˊ),suí,隨
(ㄙㄨㄧˇ),suǐ,髓
(ㄙㄨㄧˋ),suì,歲
(ㄙㄨㄧ˙),,　
ㄚ,a,阿
ㄚˊ,á,嗄
ㄚˇ,,
ㄚˋ,à,阿
ㄚ˙,ạ,啊
ㄛ,o,喔
ㄛˊ,ó,哦
ㄛˇ,,
ㄛˋ,,
ㄛ˙,,
ㄜ,e,婀
ㄜˊ,é,額
ㄜˇ,ě,噁
ㄜˋ,è,俄
ㄜ˙,ẹ,呃
ㄝ,,
ㄝˊ,,
ㄝˇ,,
ㄝˋ,èh,誒
ㄝ˙,,
ㄞ,ai,挨
ㄞˊ,aí,皚
ㄞˇ,aǐ,矮
ㄞˋ,aì,愛
ㄞ˙,aị,唉
ㄟ,,
ㄟˊ,,
ㄟˇ,,
ㄟˋ,eì,欸
ㄟ˙,,
ㄠ,ao,凹
ㄠˊ,aó,敖
ㄠˇ,aǒ,襖
ㄠˋ,aò,奧
ㄠ˙,aọ,噢
ㄡ,ou,歐
ㄡˊ,oú,吽
ㄡˇ,oǔ,偶
ㄡˋ,où,嘔
ㄡ˙,oụ,噢
ㄢ,an,安
ㄢˊ,án,玵
ㄢˇ,ǎn,俺
ㄢˋ,àn,按
ㄢ˙,,
ㄣ,en,恩
ㄣˊ,,
ㄣˇ,,
ㄣˋ,èn,摁
ㄣ˙,,
ㄤ,ang,骯
ㄤˊ,áng,昂
ㄤˇ,ǎng,軮
ㄤˋ,àng,盎
ㄤ˙,,
ㄥ,eng,鞥
ㄥˊ,,
ㄥˇ,,
ㄥˋ,,
ㄥ˙,,
ㄦ,er,兒
ㄦˊ,ér,而
ㄦˇ,ěr,爾
ㄦˋ,èr,二
ㄦ˙,,
ㄧ,yi,一
ㄧˊ,yí,宜
ㄧˇ,yǐ,以
ㄧˋ,yì,義
ㄧ˙,,　
ㄧㄚ,ya,壓
ㄧㄚˊ,yá,牙
ㄧㄚˇ,yǎ,雅
ㄧㄚˋ,yà,訝
ㄧㄚ˙,yạ,呀
ㄧㄛ,,
ㄧㄛˊ,yo,唷
ㄧㄛˇ,,　
ㄧㄛˋ,,　
ㄧㄛ˙,,　
ㄧㄝ,yeh,耶
ㄧㄝˊ,yéh,爺
ㄧㄝˇ,yěh,也
ㄧㄝˋ,yèh,頁
ㄧㄝ˙,yẹh,爺
ㄧㄞ,,
ㄧㄞˊ,yaí,崖
ㄧㄞˇ,,　
ㄧㄞˋ,,　
ㄧㄞ˙,,　
ㄧㄠ,yao,邀
ㄧㄠˊ,yaó,窯
ㄧㄠˇ,yaǒ,咬
ㄧㄠˋ,yaò,要
ㄧㄠ˙,yaọ,哟
ㄧㄡ,you,悠
ㄧㄡˊ,yoú,由
ㄧㄡˇ,yoǔ,有
ㄧㄡˋ,yoù,又
ㄧㄡ˙,,　
ㄧㄢ,yan,煙
ㄧㄢˊ,yán,言
ㄧㄢˇ,yǎn,演
ㄧㄢˋ,yàn,驗
ㄧㄢ˙,,　
ㄧㄣ,yin,音
ㄧㄣˊ,yín,銀
ㄧㄣˇ,yǐn,引
ㄧㄣˋ,yìn,印
ㄧㄣ˙,,　
ㄧㄤ,yang,央
ㄧㄤˊ,yáng,洋
ㄧㄤˇ,yǎng,養
ㄧㄤˋ,yàng,樣
ㄧㄤ˙,,　
ㄧㄥ,ying,英
ㄧㄥˊ,yíng,營
ㄧㄥˇ,yǐng,影
ㄧㄥˋ,yìng,映
ㄧㄥ˙,,
(ㄧㄨ),yiu,悠
(ㄧㄨˊ),yiú,由
(ㄧㄨˇ),yiǔ,有
(ㄧㄨˋ),yiù,又
(ㄧㄨ˙),,　
ㄨ,wu,屋
ㄨˊ,wú,吳
ㄨˇ,wǔ,五
ㄨˋ,wù,物
ㄨ˙,,　
ㄨㄚ,wa,哇
ㄨㄚˊ,wá,娃
ㄨㄚˇ,wǎ,瓦
ㄨㄚˋ,wà,襪
ㄨㄚ˙,,　
ㄨㄛ,wo,窩
ㄨㄛˊ,,　
ㄨㄛˇ,wǒ,我
ㄨㄛˋ,wò,握
ㄨㄛ˙,,　
(ㄨㄜㄣ),,
(ㄨㄜㄣˊ),,
(ㄨㄜㄣˇ),,
(ㄨㄜㄣˋ),,
(ㄨㄜㄣ˙),,
ㄨㄞ,wai,歪
ㄨㄞˊ,,　
ㄨㄞˇ,waǐ,歪
ㄨㄞˋ,waì,外
ㄨㄞ˙,,　
ㄨㄟ,wei,威
ㄨㄟˊ,weí,為
ㄨㄟˇ,weǐ,偉
ㄨㄟˋ,weì,味
ㄨㄟ˙,,　
ㄨㄢ,wan,彎
ㄨㄢˊ,wán,完
ㄨㄢˇ,wǎn,晚
ㄨㄢˋ,wàn,萬
ㄨㄢ˙,,　
ㄨㄣ,wun,溫
ㄨㄣˊ,wún,文
ㄨㄣˇ,wǔn,穩
ㄨㄣˋ,wùn,問
ㄨㄣ˙,,　
ㄨㄤ,wang,汪
ㄨㄤˊ,wáng,王
ㄨㄤˇ,wǎng,網
ㄨㄤˋ,wàng,望
ㄨㄤ˙,,　
ㄨㄥ,wong,翁
ㄨㄥˊ,,　
ㄨㄥˇ,wǒng,蓊
ㄨㄥˋ,wòng,甕
ㄨㄥ˙,,　
(ㄨㄧ),wui,威
(ㄨㄧˊ),wuí,為
(ㄨㄧˇ),wuǐ,偉
(ㄨㄧˋ),wuì,味
(ㄨㄧ˙),,　
ㄩ,yu,淤
ㄩˊ,yú,余
ㄩˇ,yǔ,與
ㄩˋ,yù,郁
ㄩ˙,,　
ㄩㄝ,yueh,約
ㄩㄝˊ,,　
ㄩㄝˇ,,　
ㄩㄝˋ,yuèh,月
ㄩㄝ˙,,　
ㄩㄢ,yuan,淵
ㄩㄢˊ,yuán,元
ㄩㄢˇ,yuǎn,遠
ㄩㄢˋ,yuàn,院
ㄩㄢ˙,,　
ㄩㄣ,yun,暈
ㄩㄣˊ,yún,雲
ㄩㄣˇ,yǔn,允
ㄩㄣˋ,yùn,運
ㄩㄣ˙,,　
ㄩㄥ,yong,庸
ㄩㄥˊ,yóng,嫆
ㄩㄥˇ,yǒng,永
ㄩㄥˋ,yòng,用
ㄩㄥ˙,,
